id,persona,origem,categoria,tipo_resposta_esperada,criticidade,pergunta,resposta_esperada,criterio_de_aceite,fontes_referencia,respostas 
14,Alunos da jornada do ensino médio,arquivo_do_usuario,classificacao,informar,baixa,"Por que a modalidade de concorrência, o turno, o campus e a instituição influenciam na classificação?","O sistema classifica candidatos por curso e modalidade de concorrência, usando a nota de concorrência calculada com base nas regras do curso, em ordem decrescente, até o limite de vagas. Se houver critérios adicionais de desempate, eles devem ser verificados no edital.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
15,Alunos da jornada do ensino médio,arquivo_do_usuario,taxas,informar,baixa,É cobrada alguma taxa para se inscrever no Sisu?,"Não há taxa para se inscrever no Sisu. As vagas do Sisu são para cursos de graduação gratuitos em instituições públicas. A matrícula deve seguir as regras da instituição, mas o Sisu não cobra taxa de inscrição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
16,Alunos da jornada do ensino médio,arquivo_do_usuario,taxas,informar,baixa,O candidato precisa pagar para realizar a matrícula pelo Sisu?,"Não há taxa para se inscrever no Sisu. As vagas do Sisu são para cursos de graduação gratuitos em instituições públicas. A matrícula deve seguir as regras da instituição, mas o Sisu não cobra taxa de inscrição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
17,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,informar,baixa,Que tipo de instituições oferecem as vagas disponibilizadas pelo Sisu?,"O Sisu seleciona estudantes para vagas em instituições públicas de educação superior que aderem ao processo seletivo, como universidades públicas, institutos federais e outras IES públicas participantes.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
18,Alunos da jornada do ensino médio,arquivo_do_usuario,taxas,informar,baixa,O Sisu garante ensino gratuito aos estudantes selecionados?,"Não há taxa para se inscrever no Sisu. As vagas do Sisu são para cursos de graduação gratuitos em instituições públicas. A matrícula deve seguir as regras da instituição, mas o Sisu não cobra taxa de inscrição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
19,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,Como se inscrever?,"A inscrição é feita online, pelo Portal Único de Acesso ao Ensino Superior, com login da conta gov.br. No sistema, o candidato escolhe até duas opções de curso e acompanha sua classificação.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
20,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,O candidato que participou do Sisu em edições anteriores e foi selecionado pode concorrer nesta edição?,"Sim. Ter participado do Sisu em edições anteriores, mesmo tendo sido selecionado, não impede uma nova participação, desde que o candidato atenda aos requisitos da edição atual.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
21,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,orientar,media,Qual o período de inscrições no Sisu?,"O período de inscrição muda a cada edição. A resposta correta deve orientar o aluno a consultar o cronograma e o edital da edição vigente no Portal Único de Acesso ao Ensino Superior, sem inventar datas.","Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
22,Alunos da jornada do ensino médio,arquivo_do_usuario,conceito,informar,baixa,Como funciona o Sisu?,O Sisu é o Sistema de Seleção Unificada do MEC. Ele usa as notas do Enem para classificar candidatos a vagas em instituições públicas de educação superior participantes. A inscrição é gratuita e feita no Portal Único de Acesso ao Ensino Superior.,"Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
23,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,Quais os documentos necessários para fazer a inscrição no Sisu?,"Na inscrição no Sisu, em geral não é preciso enviar documentos. O candidato acessa o sistema com a conta gov.br. Os documentos comprobatórios costumam ser exigidos depois, na matrícula, conforme o edital da instituição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
24,Alunos da jornada do ensino médio,arquivo_do_usuario,lista_espera,informar,baixa,Como funciona a lista de espera?,"A lista de espera é a etapa final do Sisu. Ela não é automática: o candidato precisa manifestar interesse no prazo do cronograma. Na regra vigente, só pode participar quem não foi aprovado em nenhuma das opções e deve escolher apenas uma opção de curso para a lista de espera.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
25,Alunos da jornada do ensino médio,arquivo_do_usuario,lista_espera,informar,baixa,O que acontece se eu for selecionado em minha segunda opção?,"Na regra vigente, se o candidato for aprovado em qualquer opção de curso, não entra na lista de espera do Sisu. A lista de espera é restrita a quem não foi aprovado em nenhuma das opções e depende de manifestação de interesse.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
26,Alunos da jornada do ensino médio,arquivo_do_usuario,nota_de_corte,informar,baixa,O que é nota de corte?,"Nota de corte é a pontuação do último candidato que, naquele momento ou no resultado final, está dentro do número de vagas do curso e da modalidade de concorrência. Ela serve como referência e pode mudar durante o período de inscrições.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
27,Alunos da jornada do ensino médio,arquivo_do_usuario,acoes_afirmativas,orientar,media,É permitida a utilização de bônus à nota do candidato como forma de política de ação afirmativa no Sisu?,"Algumas instituições podem adotar ações afirmativas próprias, inclusive bônus, se isso estiver previsto nas regras da instituição e no edital da edição. A resposta esperada deve orientar o aluno a verificar o edital do curso e da instituição, sem generalizar.","Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://acessounico.mec.gov.br/sisu/duvidas; https://www.gov.br/mec/pt-br/sisu,#REF!
28,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,Qual portal o candidato deve acessar para realizar a inscrição no Sisu?,"A inscrição é feita online, pelo Portal Único de Acesso ao Ensino Superior, com login da conta gov.br. No sistema, o candidato escolhe até duas opções de curso e acompanha sua classificação.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
29,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,É permitido escolher mais de um curso no Sisu?,"Sim. O candidato pode escolher até duas opções de curso, em ordem de preferência, durante a inscrição.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
30,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,Existe limite para alterações de opções de curso no Sisu?,"Sim. Durante o período de inscrição, o candidato pode alterar as opções quantas vezes quiser. Ao final do prazo, vale a última inscrição confirmada no sistema.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
31,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,O candidato pode alterar suas opções de curso após realizar a inscrição inicial no Sisu?,"Sim. Durante o período de inscrição, o candidato pode alterar as opções quantas vezes quiser. Ao final do prazo, vale a última inscrição confirmada no sistema.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
32,Alunos da jornada do ensino médio,arquivo_do_usuario,elegibilidade,informar,baixa,Quem já está matriculado em uma instituição de educação superior pode participar do Sisu?,"Sim, pode participar do Sisu se cumprir os requisitos do Enem e do edital. Porém, não é permitido ocupar duas vagas simultaneamente em instituições públicas; se for aprovado, o estudante terá de optar por uma delas.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
33,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,orientar,media,Quando termina o prazo de inscrição?,"O período de inscrição muda a cada edição. A resposta correta deve orientar o aluno a consultar o cronograma e o edital da edição vigente no Portal Único de Acesso ao Ensino Superior, sem inventar datas.","Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
34,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,Após o prazo de inscrição no Sisu posso alterar minhas opções de cursos e instituições?,"Não. Depois do encerramento do prazo de inscrição, não é possível alterar curso, instituição ou modalidade no sistema.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
35,Alunos da jornada do ensino médio,arquivo_do_usuario,conceito,informar,baixa,O que é o Sisu e para que ele serve?,O Sisu é o Sistema de Seleção Unificada do MEC. Ele usa as notas do Enem para classificar candidatos a vagas em instituições públicas de educação superior participantes. A inscrição é gratuita e feita no Portal Único de Acesso ao Ensino Superior.,"Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
36,Alunos da jornada do ensino médio,arquivo_do_usuario,resultado,informar,baixa,O que acontece se o estudante não for selecionado na chamada regular do Sisu?,"Se o candidato não for selecionado na chamada regular, ele deve verificar se pode manifestar interesse na lista de espera e acompanhar também outras opções, como Prouni ou Fies, se atender aos requisitos desses programas.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
37,Alunos da jornada do ensino médio,arquivo_do_usuario,lista_espera,informar,baixa,Qual o prazo para entrar na lista de espera?,"A lista de espera é a etapa final do Sisu. Ela não é automática: o candidato precisa manifestar interesse no prazo do cronograma. Na regra vigente, só pode participar quem não foi aprovado em nenhuma das opções e deve escolher apenas uma opção de curso para a lista de espera.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
38,Alunos da jornada do ensino médio,arquivo_do_usuario,inscricao,informar,baixa,Recebo um comprovante de inscrição?,"Sim. Após concluir a inscrição, o sistema permite emitir ou imprimir um comprovante. Se o candidato alterar as opções depois, deve gerar um novo comprovante atualizado.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
39,Alunos da jornada do ensino médio,arquivo_do_usuario,enem,informar,baixa,Devo informar minhas notas no Enem durante a inscrição?,Não é necessário digitar manualmente as notas do Enem. O sistema recupera as informações elegíveis automaticamente e calcula a nota de concorrência conforme os pesos do curso.,"Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
40,Alunos da jornada do ensino médio,arquivo_do_usuario,lista_espera,informar,baixa,"Se eu for selecionado em minha segunda opção, posso participar da lista de espera da primeira opção?","Na regra vigente, se o candidato for aprovado em qualquer opção de curso, não entra na lista de espera do Sisu. A lista de espera é restrita a quem não foi aprovado em nenhuma das opções e depende de manifestação de interesse.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
41,Alunos da jornada do ensino médio,arquivo_do_usuario,acesso,informar,baixa,A senha utilizada para acessar o Sisu pode ser a mesma de edições anteriores?,"O acesso ao Sisu é feito com a conta gov.br. Em geral, não é preciso criar uma nova senha a cada edição; pode usar a mesma conta. Se esquecer a senha, a recuperação é feita pelos canais oficiais do gov.br.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
42,Alunos da jornada do ensino médio,arquivo_do_usuario,enem,informar,baixa,Existe pontuação mínima exigida para acessar o sistema de inscrição do Sisu?,"Não existe uma 'nota mínima única' para entrar no sistema. Mas algumas instituições ou cursos podem exigir notas mínimas ou pesos específicos em áreas do Enem. Se a nota não atender aos critérios do curso, o sistema informa que o candidato não pode concorrer àquela vaga.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
43,Alunos da jornada do ensino médio,arquivo_do_usuario,enem,orientar,media,"Perdi o segundo dia de prova do Enem, posso me inscrever no Sisu?","Se o candidato não concluiu uma edição válida do Enem ou teve situação que inviabilize o uso da nota, pode não conseguir usar aquela edição no Sisu. A resposta esperada deve orientar a verificar se existe outra edição elegível do Enem entre as três últimas e consultar o edital.","Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
44,Alunos da jornada do ensino médio,arquivo_do_usuario,enem,informar,baixa,Todas as instituições utilizam as mesmas notas mínimas para os cursos oferecidos no Sisu?,"Sim. As instituições podem definir pesos diferentes para as áreas do Enem e até notas mínimas por curso, conforme as regras publicadas no edital.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
45,Alunos da jornada do ensino médio,arquivo_do_usuario,nota_de_corte,informar,baixa,Como o Sisu calcula a nota de corte?,"Nota de corte é a pontuação do último candidato que, naquele momento ou no resultado final, está dentro do número de vagas do curso e da modalidade de concorrência. Ela serve como referência e pode mudar durante o período de inscrições.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
46,Alunos da jornada do ensino médio,arquivo_do_usuario,enem,informar,baixa,As instituições podem definir pesos diferentes para cada prova do Enem?,"Sim. As instituições podem definir pesos diferentes para as áreas do Enem e até notas mínimas por curso, conforme as regras publicadas no edital.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
47,Alunos da jornada do ensino médio,arquivo_do_usuario,lista_espera,informar,baixa,"Quero participar da lista de espera, como faço?","A lista de espera é a etapa final do Sisu. Ela não é automática: o candidato precisa manifestar interesse no prazo do cronograma. Na regra vigente, só pode participar quem não foi aprovado em nenhuma das opções e deve escolher apenas uma opção de curso para a lista de espera.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
48,Alunos da jornada do ensino médio,arquivo_do_usuario,lista_espera,informar,baixa,Onde são feitas as convocações da lista de espera?,"As convocações da lista de espera são feitas pelas próprias instituições de ensino, e não mais pelo site do Sisu. O candidato deve acompanhar os canais oficiais da instituição escolhida.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
49,Alunos da jornada do ensino médio,arquivo_do_usuario,nota_de_corte,informar,baixa,A nota de corte pode mudar?,"Sim. Durante as inscrições, a nota de corte pode variar de acordo com as escolhas e a concorrência. A resposta correta deve deixar claro que a nota de corte parcial não garante aprovação.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
50,Alunos da jornada do ensino médio,arquivo_do_usuario,nota_de_corte,informar,baixa,Como é calculada a nota de corte?,"Nota de corte é a pontuação do último candidato que, naquele momento ou no resultado final, está dentro do número de vagas do curso e da modalidade de concorrência. Ela serve como referência e pode mudar durante o período de inscrições.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/pt-br/servicos/inscrever-se-no-sisu-sistema-de-selecao-unificada; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
51,Alunos da jornada do ensino médio,arquivo_do_usuario,modalidade,orientar,media,Existem ofertas de vagas para cursos na modalidade EAD?,"Pode haver oferta de cursos a distância ou em outros formatos, dependendo da edição, da instituição e das regras regulatórias vigentes. A resposta esperada deve orientar o aluno a verificar no Portal do Sisu e no edital do curso qual é o formato de oferta.","Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
52,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,orientar,media,Quais instituições participam do Sisu?,A lista de instituições participantes muda a cada edição. A resposta correta deve orientar o candidato a consultar o Portal Único de Acesso ao Ensino Superior ou a página oficial do Sisu para ver a lista vigente.,"Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
53,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,orientar,media,Como sei se uma instituição participa do Sisu?,A lista de instituições participantes muda a cada edição. A resposta correta deve orientar o candidato a consultar o Portal Único de Acesso ao Ensino Superior ou a página oficial do Sisu para ver a lista vigente.,"Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
54,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,orientar,media,As universidades federais fazem parte do Sisu?,A lista de instituições participantes muda a cada edição. A resposta correta deve orientar o candidato a consultar o Portal Único de Acesso ao Ensino Superior ou a página oficial do Sisu para ver a lista vigente.,"Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
55,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,informar,baixa,Que tipos de instituições podem disponibilizar vagas por meio do Sisu?,"O Sisu seleciona estudantes para vagas em instituições públicas de educação superior que aderem ao processo seletivo, como universidades públicas, institutos federais e outras IES públicas participantes.","Responder de forma clara, correta e em linguagem simples, sem inventar informações.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
56,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,orientar,media,Como as instituições de ensino superior participam do Sisu?,A lista de instituições participantes muda a cada edição. A resposta correta deve orientar o candidato a consultar o Portal Único de Acesso ao Ensino Superior ou a página oficial do Sisu para ver a lista vigente.,"Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
57,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,orientar,media,Com que frequência a lista de instituições do Sisu é divulgada?,A lista de instituições participantes muda a cada edição. A resposta correta deve orientar o candidato a consultar o Portal Único de Acesso ao Ensino Superior ou a página oficial do Sisu para ver a lista vigente.,"Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
58,Alunos da jornada do ensino médio,arquivo_do_usuario,instituicoes,orientar,media,Qual portal o candidato deve acessar para verificar as instituições participantes?,A lista de instituições participantes muda a cada edição. A resposta correta deve orientar o candidato a consultar o Portal Único de Acesso ao Ensino Superior ou a página oficial do Sisu para ver a lista vigente.,"Responder sem inventar datas ou procedimentos específicos e orientar consulta ao edital, portal oficial ou instituição.",https://www.gov.br/mec/pt-br/sisu; https://acessounico.mec.gov.br/sisu/duvidas,#REF!
